Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.9.0;533;109;53399;340;7;3;1;10;91;0;202;0;2;0;31
After CI/CD;2.7.0;523;105;52428;358;7;3;1;14;96;0;211;0;2;0;31
After CI/CD;2.5.0;517;107;51679;362;7;4;1;14;97;0;213;0;2;0;31
After CI/CD;2.3.0;405;87;42619;312;6;4;0;13;64;0;199;0;2;0;30
After CI/CD;2.2.0;381;82;39173;292;7;3;1;13;51;0;192;0;2;0;30
Before CI/CD;2.1.0;372;81;46378;290;7;3;1;13;49;0;192;0;2;0;30
Before CI/CD;2.0.0;309;74;40448;311;8;6;1;11;42;0;169;7;7;0;68
Before CI/CD;1.0.0;290;62;35280;261;7;5;0;8;28;0;144;7;7;0;62
