Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;1.23.0;36;13;5384;73;5;2;0;13;32;0;12;0;0;0;14
After CI/CD;1.19.0;29;13;4224;70;5;3;0;13;28;0;17;0;0;0;9
After CI/CD;1.15.0;23;9;2921;48;5;1;0;8;32;0;1;0;0;0;6
After CI/CD;1.13.0;26;9;2723;37;4;1;0;12;18;0;0;0;0;0;6
Before CI/CD;1.12.0;25;8;2456;31;4;2;0;8;15;0;0;0;0;0;6
Before CI/CD;1.11.0;25;7;2400;30;4;2;0;8;14;0;0;0;0;0;6
Before CI/CD;1.9.0;21;6;2076;28;4;2;0;7;13;0;0;0;0;0;6
Before CI/CD;1.7.0;21;5;1818;23;4;2;0;4;11;0;0;0;0;0;6
