Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Struts,Before CI/CD,Geo-Mean,640.7096364450225,117.44672578653619,57632.029459737474,411.51059547836223,7.140310680293654,0.18330725668212108,3.5038064511589497
Struts,After CI/CD,Geo-Mean,1185.51159247281,234.25743784362845,120994.13510923603,990.1112297007528,8.18313407345621,0.1976002928448809,4.2265946337280065
Commons-Codec,Before CI/CD,Mean,89.25,31.125,20046.25,424.625,22.118828522830608,0.3524004632570585,14.548147050318104
Commons-Codec,After CI/CD,Mean,143.2,53.8,33917.8,613.4,18.06577844459689,0.3755303683185976,11.377950050076528
Commons-Codec,Before CI/CD,Median,101.0,34.5,21776.5,453.5,20.69411251950079,0.3495887191539365,13.28974358974359
Commons-Codec,After CI/CD,Median,143.0,54.0,33065.0,633.0,18.01751391880928,0.37579617834394907,11.5
Commons-Codec,Before CI/CD,Geo-Mean,82.84279752981189,29.160643097464103,19069.51904626127,416.39601378204827,21.83568514611728,0.3519997388664999,14.279383770458043
Commons-Codec,After CI/CD,Geo-Mean,142.9705047650014,53.68339964833802,33808.707863820935,610.4102169460035,18.054822426361095,0.3754858370023711,11.370558141708555
Commons-Bcel,Before CI/CD,Mean,381.0,86.25,45448.75,369.25,8.264853184833148,0.22744844107203657,4.289101815424965
Commons-Bcel,After CI/CD,Mean,509.2,103.0,60974.0,439.4,7.203473408908488,0.20314683889388618,4.259308496871244
Commons-Bcel,Before CI/CD,Median,356.0,83.5,42390.5,364.0,8.580913815748058,0.23085874799357944,4.317261904761905
Commons-Bcel,After CI/CD,Median,497.0,103.0,59784.0,422.0,6.852684250699686,0.2076271186440678,4.122448979591836
Commons-Bcel,Before CI/CD,Geo-Mean,378.3576365711779,85.9841416641746,44850.29178655714,368.6741606831489,8.22010617985881,0.22725626061996745,4.287699493739989
Commons-Bcel,After CI/CD,Geo-Mean,507.226904633061,102.90107938677316,60926.75896508493,437.8985778161536,7.187294798777975,0.2028699157060961,4.255529489348006
Commons-Compress,Before CI/CD,Mean,202.83333333333334,88.83333333333333,35550.166666666664,839.5,23.769456169904288,0.4391545104129167,9.623391480730222
Commons-Compress,After CI/CD,Mean,463.1666666666667,177.33333333333334,73097.16666666667,1487.5,20.532192440092512,0.3882429711561988,8.394962813322321
Commons-Compress,Before CI/CD,Median,207.0,87.5,37514.5,904.5,23.470926795737235,0.43143469433792014,9.320588235294117
Commons-Compress,After CI/CD,Median,398.0,156.5,63469.0,1307.5,20.61181566745424,0.39285714285714285,8.351455790310869
Commons-Compress,Before CI/CD,Geo-Mean,192.750003140029,84.5779646126799,34075.07748558542,809.0855482108642,23.74420274034968,0.4387961776126963,9.566150615187146
Commons-Compress,After CI/CD,Geo-Mean,443.0325951818662,171.80869737007583,70277.15914825138,1442.0912164000795,20.520055646500364,0.3878014828672995,8.393586811812073
Commons-Configuration,Before CI/CD,Mean,216.16666666666666,50.333333333333336,49029.5,248.33333333333334,5.13864689926529,0.23208490334800655,4.874533951511639
Commons-Configuration,After CI/CD,Mean,495.85714285714283,113.71428571428571,103369.14285714286,384.7142857142857,3.759880653410184,0.22939121746100624,3.389385751366791
Commons-Configuration,Before CI/CD,Median,243.0,57.0,54969.5,296.0,4.789637574567035,0.22935863308534116,4.931795131845842
Commons-Configuration,After CI/CD,Median,496.0,115.0,108529.0,378.0,3.4737259165752934,0.2318548387096774,3.289473684210526
Commons-Configuration,Before CI/CD,Geo-Mean,196.98619184099562,45.553855021234845,43595.0818889165,220.28829596851122,5.053053840564443,0.23125405184747805,4.835777254544629
Commons-Configuration,After CI/CD,Geo-Mean,495.82756388296514,113.65318865317694,102992.5554651175,384.5297023358072,3.7335679321603314,0.2292191820945307,3.3833604397078103
Commons-Net,Before CI/CD,Mean,192.83333333333334,66.66666666666667,36102.166666666664,389.8333333333333,10.466614410742459,0.3408888373544381,5.707808375156304
Commons-Net,After CI/CD,Mean,252.5,100.0,47762.25,574.5,12.091288864332691,0.39600176037450985,5.744960214192774
Commons-Net,Before CI/CD,Median,195.0,64.5,35959.5,402.5,11.142682841067103,0.33854166666666663,5.984623015873016
Commons-Net,After CI/CD,Median,252.0,100.0,49336.0,574.5,11.55925372979222,0.39683164574901975,5.744920428385547
Commons-Net,Before CI/CD,Geo-Mean,187.8397259121966,63.804208580869066,34876.004584488976,359.9156565616677,10.319864928614537,0.33967366738329635,5.640939125598436
Commons-Net,After CI/CD,Geo-Mean,252.48963479355646,99.97749240226084,47666.17617272964,574.3613559844287,12.049662928763052,0.39596671952100365,5.744906600312373
Freemarker,Before CI/CD,Mean,1068.6,237.6,95238.6,1968.8,20.788571619067604,0.22666875480959817,8.199235291465882
Freemarker,After CI/CD,Mean,1366.8,284.8,123164.6,2455.4,19.955925863133427,0.20864497339905413,8.620613789472056
Freemarker,Before CI/CD,Median,1210.0,259.0,108051.0,2196.0,20.355086117672037,0.21586263286999183,8.496212121212121
Freemarker,After CI/CD,Median,1354.0,285.0,122556.0,2469.0,20.14589248996377,0.21048744460856722,8.594202898550725
Freemarker,Before CI/CD,Geo-Mean,1038.5484878001728,234.46957014433735,92215.6470655263,1916.2663428434794,20.78027323803113,0.22576660878009128,8.172772021818634
Freemarker,After CI/CD,Geo-Mean,1364.5512341561978,284.63044127850026,122976.43369561434,2453.659016183313,19.95227006059144,0.2085890468264523,8.620508070612514
Commons-Vfs,Before CI/CD,Mean,323.6666666666667,72.33333333333333,40702.0,287.3333333333333,7.113269481707394,0.22367241319313202,3.997542345212596
Commons-Vfs,After CI/CD,Mean,471.8,98.0,47859.6,332.8,6.995028922040004,0.2084537588117338,3.4118299881941923
Commons-Vfs,Before CI/CD,Median,309.0,74.0,40448.0,290.0,7.3979591836734695,0.21774193548387097,4.202702702702703
Commons-Vfs,After CI/CD,Median,517.0,105.0,51679.0,340.0,7.004779504247373,0.20696324951644102,3.4095238095238094
Commons-Vfs,Before CI/CD,Geo-Mean,321.83490115360297,71.89568226480151,40449.4432501897,286.59347479416505,7.085226687089729,0.22339305652399585,3.986240421762783
Commons-Vfs,After CI/CD,Geo-Mean,467.1107777498487,97.33444030708364,47489.775969273185,331.6817620531614,6.984277253018955,0.20837549665618935,3.40765058089128
