Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Unexpected-Keyboard,Before CI/CD,Mean,23.0,6.5,2187.5,28.0,12.815222719716946,0.28095238095238095,4.356845238095238
Unexpected-Keyboard,After CI/CD,Mean,28.5,11.0,3813.0,57.0,15.037836274645544,0.38671129179000246,5.111111111111111
Unexpected-Keyboard,Before CI/CD,Median,23.0,6.5,2238.0,29.0,12.636707481823102,0.28285714285714286,4.442857142857143
Unexpected-Keyboard,After CI/CD,Median,27.5,11.0,3572.5,59.0,15.010341489810699,0.37620772946859904,5.3589743589743595
Unexpected-Keyboard,Before CI/CD,Geo-Mean,22.9128784747792,6.402171745887357,2171.776892982675,27.8190441648317,12.809347154728023,0.27941368226320384,4.345251153673307
Unexpected-Keyboard,After CI/CD,Geo-Mean,28.1093252466595,10.816653826391969,3667.3472992097777,54.88655406597846,14.966282052917407,0.3848065982187679,5.0742637184208155
