Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Presence-Publisher,Before CI/CD,Mean,14.8,4.6,678.2,13.8,21.171142536217843,0.33008430166324904,3.233333333333333
Presence-Publisher,After CI/CD,Mean,92.6,18.6,3524.0,42.6,13.319914817355116,0.1941690428005599,2.4837296324365292
Presence-Publisher,Before CI/CD,Median,19.0,6.0,706.0,15.0,20.253164556962027,0.3157894736842105,3.0
Presence-Publisher,After CI/CD,Median,75.0,16.0,2571.0,43.0,13.864818024263432,0.21138211382113822,2.6875
Presence-Publisher,Before CI/CD,Geo-Mean,12.855563371851556,4.192962712629476,635.083519965629,13.290796118979483,20.92763502932461,0.3261593904013848,3.1697863849222276
Presence-Publisher,After CI/CD,Geo-Mean,87.85457969399079,16.83223827132544,3169.419132943752,40.99534171829295,12.934654584550502,0.19159204141610342,2.435525273434998
