Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
XUpdate,Before CI/CD,Mean,35.6,18.4,6151.4,92.2,14.963177062823672,0.5143253968253967,5.0263314703871975
XUpdate,After CI/CD,Mean,40.4,23.6,7821.6,119.4,15.263021450354472,0.5842682926829268,5.057971014492754
XUpdate,Before CI/CD,Median,35.0,19.0,6169.0,97.0,15.061489567500345,0.5428571428571428,4.954545454545454
XUpdate,After CI/CD,Median,40.0,24.0,7737.0,116.0,15.198659645763524,0.5853658536585366,5.043478260869565
XUpdate,Before CI/CD,Geo-Mean,35.5082862120967,18.18681490829936,6111.2082297083925,91.34314105925414,14.946821909161606,0.5121850939148854,5.022492477095073
XUpdate,After CI/CD,Geo-Mean,40.39703936148014,23.59488578636842,7815.592323771009,119.27285945459745,15.260885485522412,0.5840746292132214,5.055030167745308
