Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Shitter,Before CI/CD,Mean,52.8,24.0,7996.2,84.8,9.876830292954171,0.4488429058484133,3.336673580502982
Shitter,After CI/CD,Mean,132.0,54.8,21206.0,202.6,9.462043494195814,0.4163970114462116,3.828153070013535
Shitter,Before CI/CD,Median,50.0,24.0,7393.0,62.0,9.231285666330983,0.4634146341463415,3.6551724137931036
Shitter,After CI/CD,Median,111.0,42.0,18356.0,164.0,9.317183548515906,0.4251968503937008,3.5
Shitter,Before CI/CD,Geo-Mean,50.00531087166585,22.331732971341278,7522.218381270449,72.50645852902129,9.638972820777836,0.44658722407813184,3.2467905030957565
Shitter,After CI/CD,Geo-Mean,121.20463188389643,50.233920032934314,20117.539906051617,189.955936909563,9.442304466483092,0.4144554482130196,3.7814277043285562
