Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
ColorPickerView,Before CI/CD,2.0.0,14,3,1138,16,3,0,0,7,0,0,5,0,0,0,4,14.0597539543058,0.21428571428571427,5.333333333333333
ColorPickerView,Before CI/CD,2.1.0,17,5,2083,18,3,0,0,4,0,0,9,0,0,0,5,8.641382621219394,0.29411764705882354,3.6
ColorPickerView,Before CI/CD,2.1.3,20,7,2603,19,3,0,0,6,0,0,8,0,0,0,5,7.299270072992701,0.35,2.7142857142857144
ColorPickerView,Before CI/CD,2.1.5,20,8,2652,20,3,0,0,6,0,0,8,0,0,0,6,7.541478129713424,0.4,2.5
ColorPickerView,After CI/CD,2.1.7,20,7,2748,19,3,0,0,6,0,0,6,0,0,0,7,6.914119359534206,0.35,2.7142857142857144
ColorPickerView,After CI/CD,2.2.0,21,6,2985,36,3,0,0,16,0,0,10,0,0,0,10,12.06030150753769,0.2857142857142857,6.0
ColorPickerView,After CI/CD,2.2.2,21,8,3083,40,4,0,0,16,2,0,11,0,0,0,11,12.974375608173856,0.38095238095238093,5.0
ColorPickerView,After CI/CD,2.2.4,21,8,3142,39,4,0,0,15,2,0,11,0,0,0,11,12.412476129853596,0.38095238095238093,4.875
