Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Discreet Launcher,Before CI/CD,Mean,19.8,5.4,2299.2,8.6,3.424765540786171,0.26186506991460556,1.4583333333333335
Discreet Launcher,After CI/CD,Mean,50.8,12.0,7016.0,54.8,7.529473374143987,0.23728506787330317,4.4189277389277395
Discreet Launcher,Before CI/CD,Median,19.0,6.0,2175.0,10.0,3.465003465003465,0.3076923076923077,1.625
Discreet Launcher,After CI/CD,Median,52.0,11.0,7532.0,65.0,8.487855837033168,0.25,5.466666666666667
Discreet Launcher,Before CI/CD,Geo-Mean,17.252397333292876,4.337887084790795,1982.5661178220219,6.19167679974162,3.1230619468790164,0.2514367714230496,1.4273485405949033
Discreet Launcher,After CI/CD,Geo-Mean,50.661546837252,11.873096465516,6959.2395664409105,48.31598431296413,6.942710313631839,0.23436111225853012,4.0693667783540866
