Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
AsteroidOSSync,Before CI/CD,Mean,289.8,105.8,48935.4,598.8,12.465813527847217,0.3442543944067006,6.096434340326519
AsteroidOSSync,After CI/CD,Mean,110.0,21.0,12605.4,166.0,13.16900847560829,0.19090909090909092,7.904761904761905
AsteroidOSSync,Before CI/CD,Median,348.0,133.0,61031.0,704.0,12.964304842317507,0.3665768194070081,5.568627450980392
AsteroidOSSync,After CI/CD,Median,110.0,21.0,12609.0,166.0,13.165199460702672,0.19090909090909092,7.904761904761905
AsteroidOSSync,Before CI/CD,Geo-Mean,264.27652752535596,87.37354579823136,42211.976512373956,524.9285172037985,12.435535138941505,0.33061409810543346,6.007865566266449
AsteroidOSSync,After CI/CD,Geo-Mean,110.00000000000004,21.0,12605.376490290611,166.00000000000006,13.168983895710092,0.19090909090909094,7.904761904761904
