Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Open Tracks,Before CI/CD,Mean,177.33333333333334,68.83333333333333,26321.5,417.0,16.436303830510397,0.4011657033573332,6.252101805690322
Open Tracks,After CI/CD,Mean,228.83333333333334,90.5,27489.5,475.3333333333333,17.481090043461137,0.4088404403456276,5.34364738940097
Open Tracks,Before CI/CD,Median,140.0,62.5,22607.5,413.0,16.254969068036218,0.4161205766710354,6.301484480431849
Open Tracks,After CI/CD,Median,247.5,95.0,29307.5,489.0,17.52923215206944,0.3929824561403509,5.325865800865801
Open Tracks,Before CI/CD,Geo-Mean,164.53070226863957,65.3813034037985,25158.93069122854,404.4481576231657,16.0757292345566,0.3973805648568031,6.185991048928344
Open Tracks,After CI/CD,Geo-Mean,216.63535878891867,88.04523716059504,26874.082687086517,468.90666915572024,17.44828556998668,0.4064213600808492,5.325747130426052
