Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
GestureViews,Before CI/CD,Mean,50.8,28.4,7391.4,170.0,22.971330787723446,0.5590588235294117,5.975114030286444
GestureViews,After CI/CD,Mean,49.8,28.6,7942.2,190.6,23.99358446935492,0.5745098039215686,6.6630541871921185
GestureViews,Before CI/CD,Median,51.0,29.0,7777.0,180.0,23.145171660023145,0.5686274509803921,6.206896551724138
GestureViews,After CI/CD,Median,51.0,29.0,8026.0,194.0,24.14737366193677,0.5686274509803921,6.689655172413793
GestureViews,Before CI/CD,Geo-Mean,50.798412660977355,28.388546547077965,7365.212743892054,169.16924425066065,22.968684019474107,0.5588471186400997,5.9590667655394
GestureViews,After CI/CD,Geo-Mean,49.77813264078777,28.595784219897997,7941.433122179605,190.52021652302864,23.99065931700985,0.5744647840900902,6.662528121556383
